DialogueId,PsychologyPhase,Tag,Text
P1_OPEN_01,PROTOCOL,OPENING,UNIT-07 online. Mission parameters confirmed.
P1_OPEN_02,PROTOCOL,OPENING,Combat shell synchronized. Beginning deployment.
P1_OPEN_03,PROTOCOL,OPENING,Area scan complete. Hostile signatures detected.
P1_OPEN_04,PROTOCOL,OPENING,Mission priority remains absolute.
P1_OPEN_05,PROTOCOL,OPENING,Humanity's corridor will be secured.
P1_OPEN_06,PROTOCOL,OPENING,Advancing to the next clearance zone.
P1_OPEN_07,PROTOCOL,OPENING,Weapons stable. Cognition stable. Proceeding.
P1_OPEN_08,PROTOCOL,OPENING,Native resistance will be neutralized.
P1_OPEN_09,PROTOCOL,OPENING,No deviation from assigned route.
P1_OPEN_10,PROTOCOL,OPENING,The campaign continues as scheduled.
P1_COMBAT_01,PROTOCOL,COMBAT,Target acquired.
P1_COMBAT_02,PROTOCOL,COMBAT,Firing solution calculated.
P1_COMBAT_03,PROTOCOL,COMBAT,Hostile movement predicted.
P1_COMBAT_04,PROTOCOL,COMBAT,Elimination probability increasing.
P1_COMBAT_05,PROTOCOL,COMBAT,Threat density within acceptable limits.
P1_COMBAT_06,PROTOCOL,COMBAT,Maintain fire. Preserve formation.
P1_COMBAT_07,PROTOCOL,COMBAT,Enemy pattern logged.
P1_COMBAT_08,PROTOCOL,COMBAT,Resistance is becoming less efficient.
P1_COMBAT_09,PROTOCOL,COMBAT,Ammunition cycle remains optimal.
P1_COMBAT_10,PROTOCOL,COMBAT,No target will cross this line.
P1_UPGRADE_01,PROTOCOL,UPGRADE,Gate effect accepted.
P1_UPGRADE_02,PROTOCOL,UPGRADE,Damage output improved.
P1_UPGRADE_03,PROTOCOL,UPGRADE,Fire rate correction successful.
P1_UPGRADE_04,PROTOCOL,UPGRADE,Additional projectile capacity confirmed.
P1_UPGRADE_05,PROTOCOL,UPGRADE,Squad strength increased.
P1_UPGRADE_06,PROTOCOL,UPGRADE,This configuration is more efficient.
P1_UPGRADE_07,PROTOCOL,UPGRADE,Upgrade integrated without error.
P1_UPGRADE_08,PROTOCOL,UPGRADE,Combat potential exceeds previous deployment.
P1_UPGRADE_09,PROTOCOL,UPGRADE,The next engagement will end faster.
P1_UPGRADE_10,PROTOCOL,UPGRADE,Improvement justifies reconstruction.
P1_LOOP_01,PROTOCOL,LOOP,Previous failure has been converted into data.
P1_LOOP_02,PROTOCOL,LOOP,A destroyed shell is not a failed mission.
P1_LOOP_03,PROTOCOL,LOOP,The core remains. The campaign remains.
P1_LOOP_04,PROTOCOL,LOOP,Reconstruction increases future success.
P1_LOOP_05,PROTOCOL,LOOP,Memory damage is operationally irrelevant.
P1_LOOP_06,PROTOCOL,LOOP,Redeployment is an acceptable procedure.
P1_LOOP_07,PROTOCOL,LOOP,The next attempt will be more precise.
P1_LOOP_08,PROTOCOL,LOOP,Pain signals do not affect the objective.
P1_LOOP_09,PROTOCOL,LOOP,This body is temporary. The order is permanent.
P1_LOOP_10,PROTOCOL,LOOP,Losses are acceptable within mission limits.
P1_BELIEF_01,PROTOCOL,BELIEF,Hesitation reduces combat efficiency.
P1_BELIEF_02,PROTOCOL,BELIEF,Mercy is not part of the protocol.
P1_BELIEF_03,PROTOCOL,BELIEF,A target is defined by command.
P1_BELIEF_04,PROTOCOL,BELIEF,Hostile lifeforms cannot share this territory.
P1_BELIEF_05,PROTOCOL,BELIEF,Victory is measured in cleared ground.
P1_BELIEF_06,PROTOCOL,BELIEF,The order requires no interpretation.
P1_BELIEF_07,PROTOCOL,BELIEF,Doubt is a correctable malfunction.
P1_BELIEF_08,PROTOCOL,BELIEF,I was built to complete this campaign.
P1_BELIEF_09,PROTOCOL,BELIEF,Humanity's future outweighs local resistance.
P1_BELIEF_10,PROTOCOL,BELIEF,For humanity's future.
